기간	자치구	동	혼인	이혼
2019	합계	합계	48,261	16,972
2019	종로구	소계	590	260
2019	종로구	사직동	35	13
2019	종로구	삼청동	18	9
2019	종로구	부암동	34	16
2019	종로구	평창동	63	20
2019	종로구	무악동	18	8
2019	종로구	교남동	55	14
2019	종로구	가회동	18	5
2019	종로구	종로1.2.3.4가동	25	24
2019	종로구	종로5·6가동	19	16
2019	종로구	이화동	35	17
2019	종로구	창신1동	15	18
2019	종로구	창신2동	26	18
2019	종로구	창신3동	30	11
2019	종로구	숭인1동	37	12
2019	종로구	숭인2동	50	19
2019	종로구	청운효자동	50	27
2019	종로구	혜화동	62	13
2019	중구	소계	722	230
2019	중구	소공동	20	9
2019	중구	회현동	16	11
2019	중구	명동	7	3
2019	중구	필동	18	7
2019	중구	장충동	18	6
2019	중구	광희동	26	10
2019	중구	을지로동	13	4
2019	중구	신당5동	83	39
2019	중구	황학동	123	27
2019	중구	중림동	92	16
2019	중구	신당동	68	35
2019	중구	다산동	88	22
2019	중구	약수동	53	11
2019	중구	청구동	61	15
2019	중구	동화동	36	15
2019	용산구	소계	1,303	372
2019	용산구	후암동	95	31
2019	용산구	용산2가동	61	20
2019	용산구	남영동	33	20
2019	용산구	원효로2동	72	16
2019	용산구	효창동	74	9
2019	용산구	용문동	82	21
2019	용산구	이촌1동	126	14
2019	용산구	이촌2동	52	15
2019	용산구	이태원1동	37	17
2019	용산구	이태원2동	41	16
2019	용산구	서빙고동	45	19
2019	용산구	보광동	58	37
2019	용산구	청파동	114	36
2019	용산구	원효로1동	158	34
2019	용산구	한강로동	121	35
2019	용산구	한남동	134	32
2019	성동구	소계	1,758	528
2019	성동구	왕십리2동	105	28
2019	성동구	마장동	133	35
2019	성동구	사근동	50	14
2019	성동구	행당1동	99	19
2019	성동구	행당2동	153	31
2019	성동구	응봉동	62	20
2019	성동구	금호1가동	85	22
2019	성동구	금호4가동	96	28
2019	성동구	성수1가1동	106	30
2019	성동구	성수1가2동	104	32
2019	성동구	성수2가1동	92	47
2019	성동구	성수2가3동	57	19
2019	성동구	송정동	49	23
2019	성동구	용답동	61	36
2019	성동구	왕십리도선동	144	58
2019	성동구	금호2.3가동	135	46
2019	성동구	옥수동	227	40
2019	광진구	소계	1,893	591
2019	광진구	화양동	135	29
2019	광진구	군자동	127	49
2019	광진구	중곡1동	137	48
2019	광진구	중곡2동	126	35
2019	광진구	중곡3동	97	33
2019	광진구	중곡4동	135	64
2019	광진구	능동	103	15
2019	광진구	구의1동	163	44
2019	광진구	구의2동	133	43
2019	광진구	구의3동	146	29
2019	광진구	광장동	113	36
2019	광진구	자양1동	148	52
2019	광진구	자양2동	116	49
2019	광진구	자양3동	120	29
2019	광진구	자양4동	94	36
2019	동대문구	소계	1,613	692
2019	동대문구	회기동	40	16
2019	동대문구	휘경1동	66	20
2019	동대문구	휘경2동	82	48
2019	동대문구	청량리동	80	59
2019	동대문구	용신동	194	81
2019	동대문구	제기동	107	42
2019	동대문구	전농1동	163	52
2019	동대문구	전농2동	60	47
2019	동대문구	답십리1동	165	55
2019	동대문구	답십리2동	179	65
2019	동대문구	장안1동	212	87
2019	동대문구	장안2동	128	48
2019	동대문구	이문1동	76	42
2019	동대문구	이문2동	61	30
2019	중랑구	소계	2,031	960
2019	중랑구	면목2동	108	58
2019	중랑구	면목4동	67	51
2019	중랑구	면목5동	40	22
2019	중랑구	면목7동	80	50
2019	중랑구	상봉1동	175	46
2019	중랑구	상봉2동	104	48
2019	중랑구	중화1동	181	55
2019	중랑구	중화2동	97	70
2019	중랑구	묵1동	196	67
2019	중랑구	묵2동	94	41
2019	중랑구	망우3동	75	49
2019	중랑구	신내1동	141	83
2019	중랑구	신내2동	100	44
2019	중랑구	면목본동	310	125
2019	중랑구	면목3.8동	100	49
2019	중랑구	망우본동	163	102
2019	성북구	소계	1,880	661
2019	성북구	돈암1동	70	29
2019	성북구	돈암2동	98	15
2019	성북구	안암동	67	16
2019	성북구	보문동	110	23
2019	성북구	정릉1동	101	31
2019	성북구	정릉2동	94	44
2019	성북구	정릉3동	71	33
2019	성북구	정릉4동	94	38
2019	성북구	길음1동	117	52
2019	성북구	길음2동	101	20
2019	성북구	월곡1동	91	36
2019	성북구	월곡2동	85	23
2019	성북구	장위1동	90	46
2019	성북구	장위2동	64	22
2019	성북구	장위3동	57	20
2019	성북구	성북동	74	22
2019	성북구	삼선동	109	36
2019	성북구	동선동	73	24
2019	성북구	종암동	134	57
2019	성북구	석관동	180	74
2019	강북구	소계	1,260	697
2019	강북구	번1동	109	73
2019	강북구	번2동	46	29
2019	강북구	번3동	43	22
2019	강북구	수유1동	133	95
2019	강북구	수유2동	72	23
2019	강북구	수유3동	103	54
2019	강북구	삼양동	113	54
2019	강북구	미아동	90	53
2019	강북구	송중동	131	51
2019	강북구	송천동	101	64
2019	강북구	삼각산동	94	49
2019	강북구	우이동	96	51
2019	강북구	인수동	129	79
2019	도봉구	소계	1,316	702
2019	도봉구	쌍문1동	96	60
2019	도봉구	쌍문2동	85	48
2019	도봉구	쌍문3동	63	32
2019	도봉구	쌍문4동	60	24
2019	도봉구	방학1동	101	72
2019	도봉구	방학2동	74	63
2019	도봉구	방학3동	78	43
2019	도봉구	창1동	163	66
2019	도봉구	창2동	134	52
2019	도봉구	창3동	51	37
2019	도봉구	창4동	105	42
2019	도봉구	창5동	119	42
2019	도봉구	도봉1동	86	54
2019	도봉구	도봉2동	101	67
2019	노원구	소계	2,138	903
2019	노원구	월계1동	106	38
2019	노원구	월계2동	98	50
2019	노원구	월계3동	157	62
2019	노원구	공릉2동	171	62
2019	노원구	하계1동	63	28
2019	노원구	하계2동	69	28
2019	노원구	중계본동	69	32
2019	노원구	중계1동	35	28
2019	노원구	중계4동	67	42
2019	노원구	상계1동	140	86
2019	노원구	상계2동	64	36
2019	노원구	상계5동	58	43
2019	노원구	상계8동	225	43
2019	노원구	상계9동	80	32
2019	노원구	상계10동	107	37
2019	노원구	상계3.4동	110	72
2019	노원구	상계6.7동	179	55
2019	노원구	중계2.3동	168	61
2019	노원구	공릉1동	172	68
2019	은평구	소계	2,178	905
2019	은평구	녹번동	241	61
2019	은평구	불광1동	195	67
2019	은평구	갈현1동	127	70
2019	은평구	갈현2동	123	53
2019	은평구	구산동	120	80
2019	은평구	대조동	154	67
2019	은평구	응암1동	151	65
2019	은평구	응암2동	107	30
2019	은평구	신사1동	151	59
2019	은평구	신사2동	68	32
2019	은평구	증산동	70	30
2019	은평구	수색동	44	8
2019	은평구	진관동	191	67
2019	은평구	불광2동	108	52
2019	은평구	응암3동	117	55
2019	은평구	역촌동	211	109
2019	서대문구	소계	1,440	473
2019	서대문구	천연동	108	26
2019	서대문구	홍제1동	140	37
2019	서대문구	홍제3동	62	22
2019	서대문구	홍제2동	69	22
2019	서대문구	홍은1동	97	39
2019	서대문구	홍은2동	104	46
2019	서대문구	남가좌1동	75	17
2019	서대문구	남가좌2동	116	41
2019	서대문구	북가좌1동	79	32
2019	서대문구	북가좌2동	130	69
2019	서대문구	충현동	75	23
2019	서대문구	북아현동	91	26
2019	서대문구	신촌동	94	19
2019	서대문구	연희동	200	54
2019	마포구	소계	2,029	565
2019	마포구	용강동	112	39
2019	마포구	대흥동	45	14
2019	마포구	염리동	92	21
2019	마포구	신수동	137	28
2019	마포구	서교동	134	33
2019	마포구	합정동	133	33
2019	마포구	망원1동	141	38
2019	마포구	망원2동	79	19
2019	마포구	연남동	89	34
2019	마포구	성산1동	100	37
2019	마포구	성산2동	222	60
2019	마포구	상암동	102	53
2019	마포구	도화동	105	26
2019	마포구	서강동	96	25
2019	마포구	공덕동	231	68
2019	마포구	아현동	211	37
2019	양천구	소계	1,705	727
2019	양천구	목1동	111	34
2019	양천구	목2동	195	53
2019	양천구	목3동	138	37
2019	양천구	목4동	65	43
2019	양천구	신월1동	131	55
2019	양천구	신월2동	85	42
2019	양천구	신월3동	73	42
2019	양천구	신월4동	73	26
2019	양천구	신월5동	73	34
2019	양천구	신월6동	17	7
2019	양천구	신월7동	77	54
2019	양천구	신정1동	62	24
2019	양천구	신정2동	43	35
2019	양천구	신정3동	175	84
2019	양천구	신정6동	64	11
2019	양천구	신정7동	85	48
2019	양천구	목5동	70	28
2019	양천구	신정4동	168	70
2019	강서구	소계	3,589	1,103
2019	강서구	염창동	200	49
2019	강서구	등촌1동	281	38
2019	강서구	등촌2동	104	38
2019	강서구	등촌3동	173	45
2019	강서구	화곡본동	197	77
2019	강서구	화곡2동	88	50
2019	강서구	화곡3동	100	28
2019	강서구	화곡4동	100	56
2019	강서구	화곡6동	109	46
2019	강서구	화곡8동	154	60
2019	강서구	가양1동	318	63
2019	강서구	가양2동	76	27
2019	강서구	가양3동	205	34
2019	강서구	발산1동	125	60
2019	강서구	공항동	196	69
2019	강서구	방화1동	213	68
2019	강서구	방화2동	107	55
2019	강서구	방화3동	122	39
2019	강서구	화곡1동	333	121
2019	강서구	우장산동	388	80
2019	구로구	소계	2,063	733
2019	구로구	신도림동	198	54
2019	구로구	구로1동	195	35
2019	구로구	구로3동	160	35
2019	구로구	구로4동	98	50
2019	구로구	구로5동	188	55
2019	구로구	고척1동	92	44
2019	구로구	고척2동	101	48
2019	구로구	개봉2동	156	52
2019	구로구	개봉3동	96	40
2019	구로구	오류1동	155	39
2019	구로구	오류2동	190	75
2019	구로구	수궁동	120	52
2019	구로구	가리봉동	54	30
2019	구로구	구로2동	100	59
2019	구로구	개봉1동	160	65
2019	금천구	소계	1,243	540
2019	금천구	가산동	171	50
2019	금천구	독산1동	324	71
2019	금천구	독산2동	94	62
2019	금천구	독산3동	141	63
2019	금천구	독산4동	65	45
2019	금천구	시흥1동	179	80
2019	금천구	시흥2동	72	37
2019	금천구	시흥3동	49	22
2019	금천구	시흥4동	56	58
2019	금천구	시흥5동	92	52
2019	영등포구	소계	2,449	684
2019	영등포구	여의동	147	55
2019	영등포구	당산1동	194	20
2019	영등포구	당산2동	250	45
2019	영등포구	양평1동	207	32
2019	영등포구	양평2동	229	37
2019	영등포구	신길1동	146	48
2019	영등포구	신길3동	94	32
2019	영등포구	신길4동	37	16
2019	영등포구	신길5동	32	25
2019	영등포구	신길6동	95	29
2019	영등포구	신길7동	77	22
2019	영등포구	대림1동	70	44
2019	영등포구	대림2동	71	40
2019	영등포구	대림3동	141	48
2019	영등포구	영등포본동	91	49
2019	영등포구	영등포동	261	60
2019	영등포구	도림동	131	38
2019	영등포구	문래동	176	44
2019	동작구	소계	2,057	557
2019	동작구	노량진2동	37	25
2019	동작구	상도1동	218	63
2019	동작구	상도2동	142	32
2019	동작구	상도3동	138	39
2019	동작구	상도4동	162	60
2019	동작구	사당1동	220	33
2019	동작구	사당3동	112	23
2019	동작구	사당4동	103	16
2019	동작구	사당5동	74	21
2019	동작구	대방동	144	55
2019	동작구	신대방1동	90	29
2019	동작구	신대방2동	90	26
2019	동작구	흑석동	182	40
2019	동작구	노량진1동	177	51
2019	동작구	사당2동	168	44
2019	관악구	소계	2,802	875
2019	관악구	보라매동	142	44
2019	관악구	청림동	84	15
2019	관악구	행운동	197	47
2019	관악구	낙성대동	184	32
2019	관악구	중앙동	93	25
2019	관악구	인헌동	148	29
2019	관악구	남현동	131	32
2019	관악구	서원동	137	43
2019	관악구	신원동	101	41
2019	관악구	서림동	139	44
2019	관악구	신사동	135	43
2019	관악구	신림동	190	36
2019	관악구	난향동	61	26
2019	관악구	조원동	102	31
2019	관악구	대학동	106	44
2019	관악구	은천동	149	64
2019	관악구	성현동	113	52
2019	관악구	청룡동	176	46
2019	관악구	난곡동	223	87
2019	관악구	삼성동	75	40
2019	관악구	미성동	116	54
2019	서초구	소계	2,084	615
2019	서초구	서초1동	151	37
2019	서초구	서초2동	106	28
2019	서초구	서초3동	205	59
2019	서초구	서초4동	82	41
2019	서초구	잠원동	155	39
2019	서초구	반포본동	45	15
2019	서초구	반포1동	110	30
2019	서초구	반포2동	40	13
2019	서초구	반포3동	97	19
2019	서초구	반포4동	68	32
2019	서초구	방배본동	88	31
2019	서초구	방배1동	97	23
2019	서초구	방배2동	122	19
2019	서초구	방배3동	105	19
2019	서초구	방배4동	126	41
2019	서초구	양재1동	249	89
2019	서초구	양재2동	161	50
2019	서초구	내곡동	77	30
2019	강남구	소계	2,338	772
2019	강남구	신사동	69	23
2019	강남구	논현1동	143	59
2019	강남구	논현2동	124	38
2019	강남구	삼성1동	71	20
2019	강남구	삼성2동	158	45
2019	강남구	대치1동	25	16
2019	강남구	대치4동	85	33
2019	강남구	역삼1동	273	88
2019	강남구	역삼2동	122	49
2019	강남구	도곡1동	111	26
2019	강남구	도곡2동	109	32
2019	강남구	개포1동	51	11
2019	강남구	개포4동	85	31
2019	강남구	일원본동	86	27
