"고유번호","구명","법정동명","산지여부","주지번","부지번","새주소명","소재지","지목한글","수목면적","수종한글","본수","과명","학명","수령","수고","흉고둘레","수관너비","활력도","지정품목","지정년월일","수목구분내용","가치등급","소유자","관리자","병해종류명","병해피해도","병해관리상태","병해관리방안","충해종류명","충해피해도","충해관리상태","충해관리방안","기타피해상태","기타피해관리","지정사유","나무의특징","연혁 및 전설","기타","수목고유번호","품계등급","생성일","사진파일명","경도","위도"
"19","용산구"," "," "," "," "," ","원효로4가 87-2"," ","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","200.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9519169","37.5338533"
"20","용산구"," "," "," "," "," ","원효로4가 87-2"," ","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","200.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9518695","37.5338257"
"21","용산구"," "," "," "," "," ","원효로4가 87-2"," ","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","200.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9518284","37.5338332"
"18","용산구"," "," "," "," "," ","용산동5가 19-104"," ","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","315.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9704504","37.5247741"
"22","용산구"," "," "," "," "," ","동비고동 260"," ","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","230.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9952593","37.5235612"
"23","용산구"," "," "," "," "," ","원효로1가 25"," ","0E-8","비술나무","1"," "," ","150.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9659296","37.5387091"
"24","용산구"," "," "," "," "," ","원효로4가 128-1"," ","0E-8","비술나무","1"," "," ","150.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9658665","37.5387142"
"25","용산구"," "," "," "," "," ","원효로4가 128-1"," ","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","115.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9521194","37.5337103"
"26","용산구"," "," "," "," "," ","원효로4가 128-1"," ","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","115.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9521668","37.5336726"
"27","용산구"," "," "," "," "," ","원효로4가 128-1"," ","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","115.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9522174","37.53364"
"28","용산구"," "," "," "," "," ","원효로4가 128-1"," ","0E-8","은행나무","1","은행나무과","Ginkgo biloba Linne","115.00000000","0E-8","0E-8","0E-8","0E-8"," "," "," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","126.9522173","37.533763"
