"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","경도","위도"
"3131","중구","2-중림동-큰-0025","02","중림동","25.00000000","회화나무","50.00000000","26.00000000","13.00000000","손기정공원","50","10.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Sophora japonica L.","2.00000000","38.00000000","공원녹지과","126.9664348","37.5568395"
"3132","중구","2-신당1동-큰-0054","02","신당1동","54.00000000","은행나무","51.00000000","9.00000000","5.00000000","성동실업여고","60","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","46.00000000","공원녹지과","127.0130702","37.5653749"
"3133","중구","2-신당1동-큰-0094","02","신당1동","94.00000000","은행나무","21.00000000","6.00000000","3.00000000","한양공고","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0105587","37.5653191"
"3134","중구","2-필동-큰-0087","02","필동","87.00000000","아카시아나무","35.00000000","28.00000000","7.00000000"," ","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9950329","37.5552666"
"3135","중구","2-신당4동-큰-0007","02","신당4동","7.00000000","느릅나무","70.00000000","18.00000000","12.00000000","청구초교","60","15.00000000","10.00000000","6.00000000","4","9","2.00000000","1.00000000","Ulmus davidiana var","2.00000000","44.00000000","공원녹지과","127.0147064","37.5578278"
"3136","중구","2-소공동-큰-0194","02","소공동","194.00000000","느티나무","25.00000000","14.00000000","6.00000000","체스프라자","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","126.9718734","37.5643313"
"3137","중구","2-회현동-큰-0132","02","회현동","132.00000000","소나무","24.00000000","17.00000000","4.00000000","남산공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","33.00000000","공원녹지과","126.9817977","37.5538495"
"3138","중구","2-회현동-큰-0081","02","회현동","81.00000000","느티나무","23.00000000","19.00000000","8.00000000"," ","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","33.00000000","공원녹지과","126.9788873","37.5550725"
"3139","중구","2-신당2동-큰-0038","02","신당2동","38.00000000","향나무","35.00000000","6.00000000","6.00000000"," ","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","36.00000000","공원녹지과","127.0084122","37.5561671"
"3140","중구","2-신당1동-큰-0115","02","신당1동","115.00000000","향나무","20.00000000","3.00000000","2.00000000","장충초교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","127.0111724","37.559841"
"3141","중구","2-명동-큰-0043","02","명동","43.00000000","향나무","25.00000000","5.00000000","3.00000000","성바오로교육장","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","126.9874451","37.562522"
"3142","중구","2-필동-큰-0020","02","필동","20.00000000","느티나무","30.00000000","24.00000000","7.00000000","한국의집","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","126.994272","37.5602925"
"3143","중구","2-광희동-큰-0001","02","광희동","1.00000000","은행나무","35.00000000","7.00000000","2.00000000","방산동공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","127.0041706","37.56767"
"3144","중구","2-신당1동-큰-0022","02","신당1동","22.00000000","느티나무","22.00000000","7.00000000","5.00000000","광희초등학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0148462","37.5670146"
"3145","중구","2-황학동-큰-0005","02","황학동","5.00000000","느티나무","22.00000000","7.00000000","6.00000000","황학어린이공원","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0182681","37.5676874"
"3146","중구","2-광희동-큰-0100","02","광희동","100.00000000","느티나무","26.00000000","6.00000000","6.00000000","경동교회","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0073361","37.563197"
"3147","중구","2-소공동-큰-0271","02","소공동","271.00000000","참나무","38.00000000","22.00000000","9.00000000","중앙일보","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Quercus variabilis BL.","2.00000000","34.00000000","공원녹지과","126.9703951","37.5614186"
"3148","중구","2-태평로1가동-큰-0139","02","태평로1가동","139.00000000","대추나무","30.00000000","10.00000000","6.00000000","홍익인쇄사","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Zizyphus jujuba var.","2.00000000","34.00000000","공원녹지과","126.98895","37.5656339"
"3149","중구","2-중림동-큰-0100","02","중림동","100.00000000","양버즘나무","40.00000000","35.00000000","15.00000000","봉래초등학교","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","126.9637819","37.5559695"
"3562","중구","2-충무로45동-큰-0031","02","충무로45동","31.00000000","은행나무","25.00000000","12.00000000","5.00000000","중구청","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9979523","37.5633034"
"3563","중구","2-신당1동-큰-0037","02","신당1동","37.00000000","느릅나무","34.00000000","7.00000000","4.00000000","성동기계공고","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Ulmus davidiana var","2.00000000","34.00000000","공원녹지과","127.0166616","37.5692409"
"3564","중구","2-신당1동-큰-0018","02","신당1동","18.00000000","느티나무","20.00000000","7.00000000","4.00000000","광희초등학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0154562","37.5669166"
"3565","중구","2-신당2동-큰-0007","02","신당2동","7.00000000","은행나무","20.00000000","8.00000000","4.00000000","장충중고교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.006776","37.5532782"
"3566","중구","2-신당6동-큰-0033","02","신당6동","33.00000000","소나무","20.00000000","11.00000000","4.00000000"," ","10","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","127.0159844","37.5616129"
"3567","중구","2-명동-큰-0053","02","명동","53.00000000","소나무","25.00000000","16.00000000","6.00000000","한국은행부지","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","126.9851108","37.5587482"
"3635","중구","2-필동-큰-0004","02","필동","4.00000000","가래나무","25.00000000","26.00000000","9.00000000","숭의여대별관","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Juglans mandshurica.","2.00000000","36.00000000","공원녹지과","126.9913196","37.5601076"
"3636","중구","2-광희동-큰-0096","02","광희동","96.00000000","꽃개오동","27.00000000","8.00000000","4.00000000","국립간호대학","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Catapa bignonioides Water","2.00000000","34.00000000","공원녹지과","127.0068132","37.5673341"
"3637","중구","2-소공동-큰-0183","02","소공동","183.00000000","아카시아나무","29.00000000","25.00000000","10.00000000","체스프라자","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9723099","37.5643151"
"3638","중구","2-충무로45동-큰-0025","02","충무로45동","25.00000000","느티나무","60.00000000","9.00000000","9.00000000","중구청","60","15.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","46.00000000","공원녹지과","126.9980179","37.5633702"
"3639","중구","2-장충동-큰-0083","02","장충동","83.00000000","양버즘나무","21.00000000","15.00000000","6.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","127.0000305","37.5586338"
"3640","중구","2-태평로1가동-큰-0096","02","태평로1가동","96.00000000","느티나무","33.00000000","23.00000000","3.00000000","한국외환은행","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","126.982072","37.5655443"
"3641","중구","2-장충동-큰-0059","02","장충동","59.00000000","소나무","22.00000000","15.00000000","6.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","127.0002504","37.5580208"
"3642","중구","2-을지로345동-큰-0044","02","을지로345동","44.00000000","은행나무","20.00000000","6.00000000","6.00000000","주차장","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9923299","37.5646714"
"3643","중구","2-충무로45동-큰-0115","02","충무로45동","115.00000000","가중나무","30.00000000","13.00000000","9.00000000","덕수중학교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Ailanthus altissima Swingle.","2.00000000","34.00000000","공원녹지과","126.9965419","37.5651087"
"3644","중구","2-신당1동-큰-0023","02","신당1동","23.00000000","은행나무","26.00000000","9.00000000","2.00000000","광희초등학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","127.0158016","37.5670539"
"3645","중구","2-신당4동-큰-0031","02","신당4동","31.00000000","양버즘나무","31.00000000","7.00000000","4.00000000","대경중고교","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","127.0170198","37.5558839"
"3646","중구","2-신당2동-큰-0045","02","신당2동","45.00000000","양버즘나무","22.00000000","5.00000000","3.00000000","신당정맥","20","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","36.00000000","공원녹지과","127.0057335","37.5493116"
"3647","중구","2-중림동-큰-0092","02","중림동","92.00000000","양버즘나무","25.00000000","35.00000000","15.00000000","봉래초등학교","60","5.00000000","10.00000000","6.00000000","2","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","32.00000000","공원녹지과","126.9638976","37.555834"
"3648","중구","2-회현동-큰-0014","02","회현동","14.00000000","아카시아나무","25.00000000","32.00000000","10.00000000"," ","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","126.9806315","37.5574957"
"3649","중구","2-남대문로5가동-큰-0052","02","남대문로5가동","52.00000000","양버즘나무","24.00000000","17.00000000","5.00000000","남대문교회","50","5.00000000","10.00000000","6.00000000","2","6","4.00000000","1.00000000","Platanus occidentalis L.","2.00000000","29.00000000","공원녹지과","126.9789596","37.554534"
"3650","중구","2-장충동-큰-0103","02","장충동","103.00000000","아카시아나무","22.00000000","25.00000000","6.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","127.0011303","37.5578145"
"3651","중구","2-광희동-큰-0041","02","광희동","41.00000000","은행나무","30.00000000","12.00000000","6.00000000","쌍림어린이공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","127.0052284","37.5644199"
"3438","중구","2-장충동-큰-0096","02","장충동","96.00000000","아카시아나무","34.00000000","25.00000000","6.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","36.00000000","공원녹지과","126.9994913","37.5574845"
"3439","중구","2-장충동-큰-0353","02","장충동","353.00000000","소나무","22.00000000","4.00000000","2.00000000","타워호텔","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Pinus densiflora S et Z.","2.00000000","36.00000000","공원녹지과","127.001552","37.5503193"
"3440","중구","2-장충동-큰-0288","02","장충동","288.00000000","벚나무","22.00000000","7.00000000","4.00000000","라임카운티","20","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Prunus yedoensis Matsumira.","2.00000000","36.00000000","공원녹지과","127.0067298","37.5596651"
"3441","중구","2-을지로345동-큰-0013","02","을지로345동","13.00000000","백일홍","25.00000000","5.00000000","6.00000000","주교동 우래옥","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Albizzia julibrissin Duraz.","2.00000000","34.00000000","공원녹지과","126.9988533","37.568126"
"3442","중구","2-장충동-큰-0128","02","장충동","128.00000000","느티나무","20.00000000","7.00000000","4.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","127.0021771","37.5578874"
"3443","중구","2-소공동-큰-0217","02","소공동","217.00000000","느티나무","27.00000000","25.00000000","12.00000000","덕수궁","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","33.00000000","공원녹지과","126.9752771","37.5652477"
"3444","중구","2-광희동-큰-0055","02","광희동","55.00000000","벽오동나무","25.00000000","7.00000000","6.00000000","국립의료원","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Firmiana simplex W.F.Wight.","2.00000000","34.00000000","공원녹지과","127.0048577","37.5666782"
"3445","중구","2-충무로45동-큰-0119","02","충무로45동","119.00000000","가중나무","60.00000000","13.00000000","8.00000000","덕수중학교","60","15.00000000","10.00000000","6.00000000","4","9","2.00000000","1.00000000","Ailanthus altissima Swingle.","2.00000000","44.00000000","공원녹지과","126.9966526","37.5648643"
"3446","중구","2-소공동-큰-0101","02","소공동","101.00000000","은행나무","32.00000000","32.00000000","5.00000000","이화여고","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","126.9684689","37.5654406"
